Directory,URL,Status,NAP_Match,Date_Updated,Owner,Notes
Google Business Profile,https://business.google.com/,Pending,Yes,,,
Bing Places,https://www.bingplaces.com/,Pending,Yes,,,
Facebook Page,https://www.facebook.com/,Pending,Yes,,,
Instagram Business,https://www.instagram.com/,Pending,Yes,,,
Apple Maps,https://businessconnect.apple.com/,Pending,Yes,,,
Yellow Pages South Africa,https://www.yellowpages.co.za/,Pending,Yes,,,
Hotfrog South Africa,https://www.hotfrog.co.za/,Pending,Yes,,,
Snupit,https://www.snupit.co.za/,Pending,Yes,,,
Cylex South Africa,https://www.cylex.net.za/,Pending,Yes,,,
Yelp,https://www.yelp.com/,Optional,Yes,,,
